iter	Passed	Remaining
0	0	88
1	1	86
2	2	81
3	3	74
4	3	73
5	4	72
6	5	72
7	6	72
8	7	71
9	7	70
10	8	69
11	9	68
12	10	67
13	10	66
14	11	64
15	12	63
16	12	63
17	13	62
18	14	62
19	15	61
20	16	60
21	16	60
22	17	59
23	18	58
24	19	57
25	19	56
26	20	55
27	21	54
28	22	53
29	22	53
30	23	52
31	24	51
32	24	50
33	25	49
34	26	48
35	26	47
36	27	47
37	28	46
38	29	45
39	30	45
40	30	44
41	30	42
42	31	42
43	32	41
44	33	40
45	33	39
46	34	39
47	35	38
48	36	37
49	36	36
50	37	36
51	38	35
52	38	34
53	39	33
54	40	32
55	40	32
56	41	31
57	42	30
58	43	29
59	43	29
60	44	28
61	45	27
62	45	26
63	46	26
64	47	25
65	47	24
66	48	23
67	49	23
68	50	22
69	50	21
70	51	21
71	52	20
72	52	19
73	53	18
74	54	18
75	55	17
76	55	16
77	56	15
78	57	15
79	57	14
80	58	13
81	59	13
82	59	12
83	60	11
84	61	10
85	62	10
86	62	9
87	63	8
88	64	7
89	64	7
90	65	6
91	66	5
92	66	5
93	67	4
94	68	3
95	68	2
96	69	2
97	70	1
98	71	0
99	72	0
